Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
2012-02,Google Italy S.R.L. ,unrestricted gift,EUR,10000,Support to the research topic “Libertà di espressione on line e della responsabilità degli Internet Service Provider”,http://nexa.polito.it/neubot ; http://neubot.org/  
2012-02,"European Commission - DG Information Society and Media 
",grant,EUR,40925,First payment for the coordination of LAPSI – Thematic Network on Legal Aspects of Public Sector Information,https://nexa.polito.it/lapsi ; http://www.lapsi-project.eu/lapsi-1 
2012-03,European Commission - DG Connect,grant,EUR,53547.98,Advanced payment for the participation in EINS - Network of Excellence on Internet Science,http://nexa.polito.it/eins ; http://internet-science.eu/ 
2012-03,European Commission - DG Information Society and Media,grant,EUR,47147,Advanced payment for the participation in Open-DAI,http://nexa.polito.it/open-dai ; http://www.open-dai.eu/  
2012-07,"Regione Piemonte - Direzione Innovazione, Ricerca e Università",grant,EUR,49586.78,"R&D contract supporting “Innovazione in campo economico, culturale e sociale del territorio piemontese attraverso il miglior sfruttamento dei benefici derivanti dagli ecosistemi digitali aperti e da Internet in generale, Dati aperti su una rete aperta”",N/A
2012-07,"Google Italy S.R.L. 
",unrestricted gift,EUR,20396.5,Unrestricted gift to support a research activity on “Libera circolazione delle Informazioni su Internet”,http://nexa.polito.it/neubot ;  http://neubot.org/
2012-09,European Commission - DG Information Society and Media,grant,EUR,2075.5,The partner KUD France Prešeren Trnovo returned the leftover COMMUNIA funding related to the balance payment,http://www.communia-project.eu/
2012-12,European Commission - DG Information Society and Media,grant,EUR,13697,Balance payment for the coordination of LAPSI – Thematic Network on Legal Aspects of Public Sector Information,https://nexa.polito.it/lapsi ; http://www.lapsi-project.eu/lapsi-1
, ,,,,,
